Edad,RangoEdad,Sexo,EstadoCivil,TipoLocalidad,Comuna,Zona,Estrato,TipoVivienda,TiempoEnMedellin,PersonasConLasQueVive,AfiliacionSalud,NivelEstudio,Estudia,ValoracionOportunidadesDeLaCiudadParaEstudiar,ValoracionInstitucionEnHabilidadesDelMundoLaboral,ImpactoProfesoresEnLaVida,Trabaja,PercepcionOfertaLaboral,GastoSemanalTransporte,GastoSemanalRumba,GastoSemanalObligacionesFamiliares,EdadALaQueTuvoPrimerHijo,EdadPrimeraRelacionSexual,ConsumoDrogas,ConsumoCigarrillo,ConsumoLicor,FrecuenciaEjercicio,FrecuenciaLectura,ParticipacionMarchas,ActividadesComunitarias,ParticipacionVoluntariados,ParticipacionGrupoJuvenil
23,22-26 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,3 personas,Subsidiado/ Sisben,Grado 4,Sí,Favorable,Desfavorable,Favorable,No,Muy buena,0,0,0,20,12,No,No,Sí,Nunca,Nunca,No,No,No,No
24,22-26 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,2 personas,Subsidiado/ Sisben,Grado 11,No,Desfavorable,Desfavorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,16,No,No,No,Siempre,Siempre,No,No,No,No
22,22-26 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,4 personas,Ninguno,Grado 8,Sí,Favorable,Favorable,Favorable,No,Muy Mala,0,0,0,No Aplica,15,No,No,No,Casi Siempre,Siempre,No,No,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Subsidiado/ Sisben,Grado 11,Sí,Favorable,Favorable,Ni favorable/ Ni desfavorable,No,Buena,0,0,0,No Aplica,No Aplica,No,No,Sí,Siempre,Nunca,Sí,No,No,No
17,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,3 personas,Beneficiario,Grado 11,Sí,Favorable,Favorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Casi Siempre,Siempre,No,No,No,Sí
16,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,3 personas,Subsidiado/ Sisben,Grado 9,No,Favorable,Favorable,Favorable,No,Buena,0,0,0,No Aplica,12,Sí,Sí,Sí,A veces,A veces,Sí,No,No,No
15,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 7,No,Ni favorable/ Ni desfavorable,Favorable,Desfavorable,No,Nunca ha realizado,0,0,0,No Aplica,13,Sí,No,Sí,Casi Siempre,A veces,No,No,No,No
14,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 6,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,No,Nunca,Casi Siempre,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,7 personas,Beneficiario,Grado 11,Sí,Favorable,Desfavorable,Favorable,No,Buena,0,0,0,No Aplica,15,Sí,No,Sí,Casi nunca,Casi nunca,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,6 personas,Subsidiado/ Sisben,Grado 11,Sí,Favorable,Muy favorable,Favorable,No,Mala,0,0,0,No Aplica,11,No,No,Sí,A veces,A veces,Sí,No,No,No
14,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Subsidiado/ Sisben,Grado 8,Sí,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,No Aplica,No,No,No,Siempre,Siempre,No,No,No,No
14,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,3 personas,Subsidiado/ Sisben,Grado 8,Sí,Muy favorable,Favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,No Aplica,No,No,Sí,A veces,A veces,No,No,Sí,Sí
24,22-26 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Más de 10 años,4 personas,Subsidiado/ Sisben,Grado 4,Sí,Ni favorable/ Ni desfavorable,Desfavorable,Desfavorable,No,Mala,0,0,0,19,18,No,No,Sí,Casi nunca,A veces,No,No,No,No
17,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,6 personas,Subsidiado/ Sisben,Grado 10,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Nunca,A veces,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Más de 10 años,4 personas,Subsidiado/ Sisben,Grado 11,No,Favorable,Favorable,Muy favorable,No,Mala,0,0,0,19,17,No,Sí,Sí,Casi Siempre,Siempre,No,No,No,No
15,14-17 años,Mujer,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Popular,NORORIENTAL,Estrato 1,Prestado por un familiar o amigo,Siempre,9 personas,Beneficiario,Grado 8,Sí,Desfavorable,Muy favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,15,No,No,No,Casi Siempre,Siempre,No,No,No,Sí
21,18-21 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Popular,NORORIENTAL,Estrato 1,De tus padres/ hermanos,Siempre,8 personas,Subsidiado/ Sisben,Grado 8,No,Favorable,Muy favorable,Desfavorable,Nunca he trabajado,Nunca ha realizado,0,0,0,21,20,No,No,No,Nunca,A veces,No,No,No,No
14,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 8,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Nunca ha realizado,0,0,0,No Aplica,No Aplica,No,No,No,Siempre,Siempre,No,No,Sí,Sí
21,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tus padres/ hermanos,Menos de 1 año,5 personas,Cotizante,Técnica Completa,No,Favorable,Muy desfavorable,Favorable,Sí,Muy Mala,0,0,0,No Aplica,17,No,No,Sí,A veces,Casi Siempre,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,4 personas,Beneficiario,Grado 8,Sí,Favorable,Ni favorable/ Ni desfavorable,Muy favorable,Nunca he trabajado,Mala,0,0,0,No Aplica,No Aplica,No,No,No,Nunca,Casi nunca,No,No,No,No
24,22-26 años,Mujer,Casado(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,6 personas,Beneficiario,Grado 5,No,Muy favorable,Ni favorable/ Ni desfavorable,Favorable,No,Mala,0,0,0,15,14,No,No,No,Nunca,Nunca,No,No,No,No
15,14-17 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Popular,NORORIENTAL,Estrato 1,Alquilado,Siempre,4 personas,Beneficiario,Grado 6,No,Favorable,Favorable,Favorable,No,Buena,0,0,0,13,13,No,No,No,Casi nunca,Siempre,No,No,No,No
26,22-26 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,Alquilado,Más de 10 años,4 personas,Cotizante,Grado 8,Sí,Ni favorable/ Ni desfavorable,Favorable,Favorable,Sí,Buena,0,0,0,25,14,No,No,No,Casi nunca,Siempre,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Beneficiario,Técnica incompleta o en curso,Sí,Favorable,Muy favorable,Muy favorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,15,No,Sí,Sí,Casi Siempre,Siempre,No,No,No,No
23,22-26 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,7 personas,Cotizante,Técnica incompleta o en curso,Sí,Muy favorable,Muy favorable,Favorable,Sí,Mala,20000,20000,80000,17,17,No,No,Sí,Casi nunca,Casi Siempre,No,No,No,No
17,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Más de 10 años,7 personas,Subsidiado/ Sisben,Grado 7,No,Favorable,Favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,16,Sí,Sí,Sí,A veces,Casi nunca,No,No,No,No
17,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 10,Sí,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,Nunca he trabajado,Buena,25000,0,0,No Aplica,16,No,No,Sí,Casi Siempre,Casi nunca,No,No,No,No
14,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,Alquilado,Siempre,6 personas,Subsidiado/ Sisben,Grado 7,Sí,Favorable,Muy favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,No,Casi Siempre,Casi nunca,No,No,No,No
17,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Más de 10 años,5 personas,Subsidiado/ Sisben,Grado 11,Sí,Favorable,Muy favorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,16,15,No,No,Sí,Casi nunca,Casi nunca,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Más de 10 años,Más de 10 personas,Subsidiado/ Sisben,Grado 6,No,Favorable,Ni favorable/ Ni desfavorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,15,Sí,Sí,Sí,Nunca,Nunca,No,No,No,No
23,22-26 años,Mujer,Casado(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,4 personas,Cotizante,Técnica Completa,No,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,Sí,Ni buena/ Ni mala,30000,0,100000,17,17,No,No,No,Casi nunca,Casi Siempre,No,No,No,Sí
15,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,8 personas,Beneficiario,Grado 8,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,No,Casi Siempre,A veces,Sí,No,No,Sí
14,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,10 personas,Subsidiado/ Sisben,Grado 7,Sí,Favorable,Muy favorable,Muy favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,No,A veces,Casi nunca,Sí,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,2 personas,Subsidiado/ Sisben,Grado 5,No,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Mala,0,0,0,19,15,Sí,Sí,Sí,Nunca,Casi nunca,Sí,No,No,No
20,18-21 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Subsidiado/ Sisben,Técnica incompleta o en curso,No,Favorable,Favorable,Favorable,No,Muy Mala,0,0,0,No Aplica,13,No,Sí,Sí,Siempre,Casi Siempre,No,No,No,No
14,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,De 1 a 5 años,3 personas,Subsidiado/ Sisben,Grado 9,Sí,Favorable,Ni favorable/ Ni desfavorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,10,No,No,No,Casi Siempre,Casi nunca,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,6 personas,Subsidiado/ Sisben,Grado 11,No,Muy favorable,Muy favorable,Muy favorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,18,No,No,No,Casi nunca,A veces,No,No,No,No
26,22-26 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,5 personas,Subsidiado/ Sisben,Grado 10,No,Favorable,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,No,Buena,10000,0,50000,No Aplica,15,No,No,No,A veces,Casi nunca,Sí,No,No,Sí
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,4 personas,Beneficiario,Grado 11,Sí,Muy favorable,Desfavorable,Ni favorable/ Ni desfavorable,No,Buena,30000,0,0,16,16,No,No,Sí,Siempre,Casi nunca,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tu propiedad,Siempre,8 personas,Beneficiario,Grado 7,No,Muy desfavorable,Desfavorable,Muy desfavorable,Sí,Buena,20000,25000,0,No Aplica,14,Sí,Sí,Sí,Casi Siempre,A veces,Sí,No,No,No
16,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,5 personas,Subsidiado/ Sisben,Grado 9,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Buena,0,0,0,No Aplica,14,No,No,Sí,Casi nunca,Casi nunca,No,No,No,Sí
19,18-21 años,Mujer,Casado(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,2 personas,Beneficiario,Grado 11,Sí,Ni favorable/ Ni desfavorable,Muy favorable,Favorable,No,Buena,50000,0,20000,No Aplica,16,Sí,Sí,Sí,Casi Siempre,Casi Siempre,Sí,No,No,Sí
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,3 personas,Subsidiado/ Sisben,Universitaria Incompleta o en curso,Sí,Favorable,Favorable,Favorable,No,Buena,20000,0,0,No Aplica,19,No,No,No,Casi nunca,Nunca,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,5 personas,Subsidiado/ Sisben,Grado 11,No,Favorable,Favorable,Favorable,No,Buena,25000,50000,70000,No Aplica,No Aplica,No,No,Sí,A veces,A veces,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,4 personas,Beneficiario,Grado 9,Sí,Muy favorable,Favorable,Muy favorable,No,Buena,0,0,0,No Aplica,12,No,No,No,A veces,A veces,Sí,No,No,Sí
14,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,4 personas,Subsidiado/ Sisben,Grado 8,Sí,Favorable,Muy favorable,Ni favorable/ Ni desfavorable,Sí,Buena,0,0,0,No Aplica,No Aplica,No,No,No,Casi Siempre,Casi Siempre,No,No,No,Sí
15,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,6 personas,Subsidiado/ Sisben,Grado 7,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Buena,15000,0,0,No Aplica,No Aplica,No,No,No,A veces,A veces,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tu propiedad,De 1 a 5 años,3 personas,Subsidiado/ Sisben,Grado 11,Sí,Favorable,Ni favorable/ Ni desfavorable,Favorable,Nunca he trabajado,Buena,16000,0,0,No Aplica,No Aplica,No,No,Sí,Casi Siempre,Casi Siempre,Sí,Sí,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,6 personas,Beneficiario,Grado 9,Sí,Muy favorable,Ni favorable/ Ni desfavorable,Favorable,No,Buena,40000,0,30000,No Aplica,18,No,No,Sí,Casi nunca,Casi nunca,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,6 personas,Subsidiado/ Sisben,Grado 8,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Buena,15000,0,0,No Aplica,No Aplica,No,No,No,A veces,A veces,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,Prestado por un familiar o amigo,Menos de 1 año,4 personas,Subsidiado/ Sisben,Grado 9,No,Muy favorable,Favorable,Favorable,No,Buena,0,0,0,18,16,No,No,No,A veces,Nunca,No,No,No,No
22,22-26 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,3 personas,Subsidiado/ Sisben,Grado 7,No,Favorable,Favorable,Favorable,No,Buena,0,0,50000,No Aplica,14,No,No,No,A veces,Casi nunca,No,No,No,No
